id,athlete_id,name,nat,birth_year,gender,height_cm,weight_kg,name_kr
1,ATH-CBF32CB8,ALVAREZ Matthew,GBR,,M,,,
2,ATH-E68E8959,AN Jaewoong,KOR,,M,,,안재웅
3,ATH-7115EBDD,BATEMAN Emily,CAN,,W,,,
4,ATH-D0014C2C,BAUER Jeff,LUX,,M,,,
5,ATH-43E0D4B0,BLAND Ashlyn,GBR,,W,,,
6,ATH-1A4821B0,BOSTOCK Laurence,GBR,,M,,,
7,ATH-97C8E938,BRUSIC Josip,CAN,,M,,,
8,ATH-0423D853,BUKVIC Marija,SRB,,W,,,
9,ATH-4E81E59A,BURGER Nicole,RSA,,W,,,
10,ATH-FB0FDC43,CHARLES Dion,CAN,,M,,,
11,ATH-8A0E894D,CHUNG Yeeun,KOR,,W,,,정예은
12,ATH-524CB173,DAFOE Grace,CAN,,W,,,
13,ATH-DAD23CF0,DELKA Kellie,PUR,,W,,,
14,ATH-FCEA7219,DONSBERGER Kyle,CAN,,M,,,
15,ATH-31FF5B1A,FIRESTONE Jared,ISR,,M,,,
16,ATH-F8836987,FREELING Colin,BEL,,M,,,
17,ATH-43F036AA,FRIMPONG Akwasi,GHA,,M,,,
18,ATH-AF8404B0,GALEA Shannon,MLT,,W,,,
19,ATH-8505DE4E,GRECO Zander,CAN,,,,,
20,ATH-CCB3D4AE,HONG Sujung,KOR,,W,,,홍수정
21,ATH-22BEDC93,JAKOBCZYK Marta,POL,,W,,,
22,ATH-2068DA92,JEONG Yeyeon,KOR,,,,,
23,ATH-54955BB9,JUNG Janghwan,KOR,,,,,
24,ATH-56A76FCD,JUNG Seunggi,KOR,,M,,,정승기
25,ATH-DE295AEB,KAWANO Hayato,JPN,,M,,,
26,ATH-B78B10F1,KIM Jisoo,KOR,,M,,,김지수
27,ATH-075364AA,KIM Minji,KOR,,W,,,
28,ATH-16B2F494,KIM Yerim,KOR,,W,,,
29,ATH-A061DE01,KUEHN Ryan,CAN,,M,,,
30,ATH-F6E5D0C9,KWACK Eunwoo,KOR,,M,,,곽은우
31,ATH-D266EBE8,LEE Kevin Heng,TPE,,M,,,
32,ATH-FFE437B1,LEE Seunghoon,KOR,,,,,이승훈
33,ATH-173D2C9D,LIANG Yuxin,CHN,,W,,,
34,ATH-DC2CC687,MILSTEIN Oren,ISR,,M,,,
35,ATH-80A2ED01,NAGAO Taido,JPN,,M,,,
36,ATH-0A5C0017,PENG Lin-Wei,TPE,,M,,,
37,ATH-578F8136,POSYLUZNY Brayden,CAN,,M,,,
38,ATH-A5F3B5E1,RODRIGUEZ Adrian,ESP,,M,,,
39,ATH-3E39B8AD,ROWLAND-EVANS Eire,IRL,,W,,,
40,ATH-1C6F219A,RUSSWURM Hannah,FIN,,W,,,
41,ATH-91E60E21,SHIN Yeonsu,KOR,,M,,,신연수
42,ATH-88A29866,SONG Siji,CHN,,W,,,
43,ATH-15459358,SONG Youngmin,KOR,,M,,,송영민
44,ATH-AB7D5DD0,STRAPASSON Eduardo,BRA,,M,,,
45,ATH-830BBF37,TAKAHASHI Hiroatsu,JPN,,M,,,
46,ATH-E141DBED,TIMMINGS Nicholas,AUS,,M,,,
47,ATH-620E1DE4,TORRES QUEVEDO Ana,ESP,,W,,,
48,ATH-5BF779CF,UHLAENDER Katie,USA,,W,,,
49,ATH-0926CF11,VARGAS Laura,COL,,W,,,
50,ATH-67BB4BAD,WANG Guanshuo,CHN,,W,,,
51,ATH-31447B0E,YAW Jonathan,MAS,,M,,,
52,ATH-81CCC6D3,YEO Chanhyuk,KOR,,M,,,여찬혁
53,ATH-A42E93BB,YU Guoqing,CHN,,M,,,
54,ATH-A1F8C752,ZHANG Wenlong,CHN,,M,,,
55,ATH-962F720E,ZHENG Ruojun,CHN,,M,,,
56,ATH-51778208,ZHU Yangqi,CHN,,W,,,
